frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
151,0,0.0082,0.0092,0.0067,False,False
151,1,0.2337,0.3895,0.0,False,False
152,0,0.0054,0.009,0.0,False,False
152,1,0.2324,0.3874,0.0,False,False
153,0,0.0055,0.0092,0.0,False,False
153,1,0.2306,0.3844,0.0,False,False
154,3,0.0336,0.056,0.0,False,False
154,1,0.2298,0.3831,0.0,False,False
155,0,0.0088,0.0102,0.0067,False,False
155,1,0.2295,0.3825,0.0,False,False
156,0,0.0087,0.0101,0.0067,False,False
156,1,0.2274,0.3791,0.0,False,False
157,3,0.0332,0.0553,0.0,False,False
157,1,0.2293,0.3822,0.0,False,False
158,0,0.0064,0.0107,0.0,False,False
158,1,0.2297,0.3829,0.0,False,False
159,0,0.0064,0.0106,0.0,False,False
159,1,0.2325,0.3876,0.0,False,False
160,0,0.0065,0.0108,0.0,False,False
160,1,0.2335,0.3892,0.0,False,False
161,0,0.0064,0.0107,0.0,False,False
161,1,0.231,0.385,0.0,False,False
162,0,0.0064,0.0107,0.0,False,False
162,1,0.2316,0.386,0.0,False,False
163,3,0.033,0.0551,0.0,False,False
163,1,0.2316,0.3859,0.0,False,False
164,0,0.0066,0.011,0.0,False,False
164,1,0.2332,0.3887,0.0,False,False
165,0,0.0065,0.0109,0.0,False,False
165,1,0.2323,0.3872,0.0,False,False
166,3,0.0351,0.054,0.0067,False,False
166,1,0.2313,0.3855,0.0,False,False
167,3,0.0319,0.0532,0.0,False,False
167,1,0.2343,0.3906,0.0,False,False
168,3,0.0311,0.0519,0.0,False,False
168,1,0.2341,0.3902,0.0,False,False
169,3,0.0301,0.0501,0.0,False,False
169,1,0.2343,0.3906,0.0,False,False
170,3,0.0284,0.0473,0.0,False,False
170,1,0.2326,0.3877,0.0,False,False
171,3,0.0297,0.0433,0.0094,False,False
171,1,0.233,0.3884,0.0,False,False
172,3,0.0278,0.04,0.0094,False,False
172,1,0.2368,0.3946,0.0,False,False
173,3,0.023,0.034,0.0067,False,False
173,1,0.2383,0.3972,0.0,False,False
174,3,0.0159,0.0265,0.0,False,False
174,1,0.242,0.4034,0.0,False,False
175,3,0.0142,0.0192,0.0067,False,False
175,1,0.2487,0.4145,0.0,False,False
176,3,0.0112,0.0142,0.0067,False,False
176,1,0.2519,0.4198,0.0,False,False
177,3,0.0062,0.0103,0.0,False,False
177,1,0.2557,0.4262,0.0,False,False
178,0,0.0333,0.0556,0.0,False,False
