frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
236,3,0.097,0.1616,0.0,False,False
237,1,0.0914,0.1523,0.0,False,False
237,3,0.0966,0.161,0.0,False,False
238,1,0.1027,0.1413,0.0447,False,False
238,3,0.0975,0.1625,0.0,False,False
239,1,0.0879,0.1265,0.0298,False,False
239,3,0.0761,0.1269,0.0,False,False
240,1,0.0691,0.1152,0.0,False,False
240,3,0.0757,0.1261,0.0,False,False
241,1,0.0663,0.1061,0.0067,False,False
241,3,0.0752,0.1254,0.0,False,False
242,1,0.0646,0.1014,0.0094,False,False
242,3,0.0806,0.1343,0.0,False,False
243,1,0.0636,0.0972,0.0133,False,False
243,3,0.0821,0.1369,0.0,False,False
244,1,0.0588,0.098,0.0,False,False
244,3,0.0822,0.1369,0.0,False,False
245,1,0.076,0.0969,0.0447,False,False
245,3,0.0819,0.1365,0.0,False,False
246,1,0.0697,0.0963,0.0298,False,False
246,3,0.0808,0.1346,0.0,False,False
247,1,0.0577,0.0962,0.0,False,False
247,3,0.081,0.135,0.0,False,False
248,1,0.0637,0.0962,0.0149,False,False
248,3,0.0805,0.1341,0.0,False,False
249,1,0.0632,0.0954,0.0149,False,False
249,3,0.0804,0.1339,0.0,False,False
250,1,0.0635,0.0959,0.0149,False,False
250,3,0.0792,0.132,0.0,False,False
251,1,0.0753,0.0957,0.0447,False,False
251,3,0.0787,0.1312,0.0,False,False
252,1,0.0731,0.0959,0.0389,False,False
252,3,0.0772,0.1287,0.0,False,False
253,1,0.0638,0.0965,0.0149,False,False
253,3,0.0762,0.127,0.0,False,False
254,1,0.0658,0.0956,0.0211,False,False
254,3,0.0765,0.1274,0.0,False,False
255,1,0.0626,0.098,0.0094,False,False
255,3,0.0766,0.1277,0.0,False,False
256,1,0.1898,0.0968,0.3293,False,False
256,3,0.0765,0.1276,0.0,False,False
257,1,0.1803,0.0966,0.3059,False,False
257,3,0.076,0.1267,0.0,False,False
258,1,0.064,0.0967,0.0149,False,False
258,3,0.0753,0.1255,0.0,False,False
259,1,0.058,0.0967,0.0,False,False
259,3,0.075,0.125,0.0,False,False
260,1,0.064,0.0967,0.0149,False,False
260,3,0.0742,0.1236,0.0,False,False
261,1,0.0661,0.0976,0.0189,False,False
261,3,0.0729,0.1214,0.0,False,False
262,1,0.0656,0.0968,0.0189,False,False
262,3,0.0727,0.1212,0.0,False,False
263,1,0.0688,0.0987,0.024,False,False
263,3,0.0724,0.1207,0.0,False,False
264,1,0.0676,0.1001,0.0189,False,False
264,3,0.0724,0.1206,0.0,False,False
265,1,0.0636,0.1016,0.0067,False,False
265,3,0.0739,0.1188,0.0067,False,False
266,1,0.073,0.1017,0.0298,False,False
266,3,0.0719,0.1198,0.0,False,False
267,1,0.0798,0.1009,0.0481,False,False
267,3,0.0735,0.1225,0.0,False,False
